Name,Coupon,Maturity_Date,ISIN,Issue_Date,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,
CAN 1.5 Jun 23,1.50%,6/1/23,CA135087A610,7/30/12,98.92,98.92,98.94,98.95,98.95,98.96,98.98,99,99,99,
CAN 2.5 Jun 24,2.50%,6/1/24,CA135087B451,7/2/13,98.08,98.07,98.17,98.11,98.05,98.02,98.01,98.07,98.07,97.96,
CAN 2.25 Jun 25,2.25%,6/1/25,CA135087D507,6/30/14,97.45,97.45,97.7,97.68,97.51,97.43,97.39,97.54,97.56,97.35,
CAN 1.75 Mar 23,1.75%,3/1/23,CA135087H490,10/6/17,99.71,99.7,99.72,99.72,99.74,99.75,99.76,99.77,99.78,99.79,
CAN 2.25 Mar 23,2.25%,3/1/23,CA135087J546,10/5/18,97.93,97.87,97.95,97.92,97.87,97.86,97.87,97.92,97.92,97.84,
CAN 1.5 Sep 24,1.50%,9/1/24,CA135087J967,4/5/19,96.48,96.45,96.58,96.5,96.4,96.4,96.32,96.47,96.48,96.29,
CAN 1.25 Mar 25,1.25%,3/1/25,CA135087K528,10/11/19,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3,
CAN 0.5 Sep 25,0.50%,9/1/25,CA135087K940,4/3/20,92.74,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72,
CAN 0.25 Apr 24,0.25%,4/1/24,CA135087L690,10/16/20,95.49,95.44,95.55,95.54,95.49,95.52,95.52,95.59,95.6,95.51,
CAN 0.25 FEB 23,0.25%,2/1/23,CA135087L773,10/26/20,99.84,99.86,99.87,99.9,99.91,99.92,99.93,99.94,99.98,99.99,
CAN 0.25 May 23,0.25%,5/1/23,CA135087L856,2/5/21,98.83,98.75,98.86,98.88,98.89,98.91,98.92,98.94,98.96,98.97,
CAN 0.25 Aug 23,0.25%,8/1/23,CA135087M359,5/14/21,97.8,97.8,97.83,97.84,97.83,97.85,97.87,97.9,97.91,97.9,
CAN 0.75 Oct 24,0.75%,10/1/24,CA135087M508,7/12/21,95.1,95.14,95.25,95.19,95.09,95.06,95.05,95.14,95.15,95.01,
CAN 0.5 Nov 23,0.50%,11/1/23,CA135087M763,8/9/21,97.02,97.01,97.05,97.05,97.01,97.03,97.06,97.11,97.1,97.07,
CAN 0.75 Feb 24,0.75%,2/1/24,CA135087M920,10/22/21,96.46,96.44,96.47,96.46,96.38,96.4,96.41,96.47,96.46,96.49,
CAN 1.5 Apr 25,1.50%,4/1/25,CA135087N340,1/24/22,95.72,95.76,95.96,95.95,95.79,95.72,95.68,95.84,95.87,95.67,
CAN 1.5 May 24,1.50%,5/1/24,CA135087N423,2/22/22,96.85,96.8,96.92,96.89,96.82,96.79,96.79,96.85,96.86,96.76,
CAN 2.75 Aug 24 ,2.75%,8/1/24,CA135087N910,5/24/22,98.34,98.34,98.44,98.39,98.3,98.26,98.24,98.32,98.31,98.18,
CAN 3 Oct 25 ,3.00%,10/1/25,CA135087P246,7/25/22,98.96,99.02,99.26,99.29,99.11,99.02,98.89,99.14,99.16,98.91,
CAN 3 Nov 24,3.00%,11/1/24,CA135087P402,8/15/22,98.77,98.82,98.92,98.86,98.75,98.71,98.69,98.78,98.77,98.61,
CAN 3.75 Feb 25,3.75%,2/1/25,CA135087P659,11/2/22,100.37,100.39,100.53,100.47,100.3,100.25,100.19,100.27,100.29,100.12,
CAN 8 Jun 23,8.00%,6/1/23,CA135087UT96,8/17/92,101.28,101.25,101.27,101.21,101.2,101.19,101.19,101.2,101.14,101.1,
CAN 9 Jun 25,9.00%,6/1/25,CA135087VH40,8/2/94,112.66,112.71,112.89,112.8,112.62,112.52,112.46,112.59,112.55,112.33,
CAN 1.5 Jun 26,1.50%,6/1/26,CA135087E679,7/21/15,94.84,94.94,95.27,95.34,95.02,94.95,94.96,95.1,95.09,94.8,
CAN 1 JUN 27,1.00%,6/1/27,CA135087F825,8/3/16,92.27,92.38,92.87,92.85,92.35,92.36,92.4,92.54,92.5,92.12,
CAN 2 Jun 28,2.00%,6/1/28,CA135087H235,8/1/17,95.91,96.02,96.61,96.59,96.04,95.94,95.95,96.12,96.04,95.62,
CAN 2.25 Jun 29 ,2.25%,6/1/29,CA135087J397,7/27/18,96.81,96.90,97.59,97.57,96.87,96.80,96.82,97.04,96.92,96.39,
CAN 0.5 Dec 30,0.50%,12/1/30,CA135087L443,10/5/20,83.54,83.68,84.42,84.44,83.74,83.65,83.79,84.00,83.91,83.43,
CAN 0.25 Mar 26,0.25%,3/1/26,CA135087L518,10/9/20,91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17,
CAN 1 Sep 26,1.00%,9/1/26,CA135087L930,4/16/21,92.72,92.84,93.24,93.29,92.95,92.90,92.91,93.05,93.04,92.77,
CAN 1.5 Jun 31,1.50%,6/1/31,CA135087M276,4/26/21,89.89,90.06,90.85,90.86,90.08,90.00,90.14,90.35,90.23,89.79,
CAN 1.25 Mar 27,1.25%,3/1/27,CA135087M847,10/15/21,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.50,93.46,93.14,
CAN 1.5 Dec 31,1.50%,12/1/31,CA135087N266,10/25/21,89.37,89.52,90.32,90.32,89.51,89.42,89.55,89.78,89.65,89.20,
CAN 2 Jun 32 ,2.00%,6/1/32,CA135087N597,3/16/22,92.93,93.08,93.94,93.91,93.07,92.96,93.08,93.30,93.16,92.68,
CAN 2.25 Dec 29,2.25%,12/1/29,CA135087N670,3/29/22,96.66,96.81,97.48,97.47,96.78,96.63,96.66,96.83,96.72,96.18,
CAN 2.75 Sep 27,2.75%,9/1/27,CA135087N837,5/13/22,99.10,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,99.86,
CAN 2.5 Dec 32,2.50%,12/1/32,CA135087P329,8/8/22,96.86,97.02,97.91,97.86,97.00,96.86,96.95,97.22,97.09,96.55,
CAN 3.5 Mar 28,3.50%,3/1/28,CA135087P576,10/21/22,102.73,102.84,103.40,103.38,102.83,102.73,102.77,102.92,102.82,102.40,
Can 3.245 Aug 27,3.25%,8/24/27,CA135087P733,12/2/22,101.09,101.23,101.72,101.72,101.22,101.17,101.22,101.34,101.26,101.00,
CAN 8 Jun 27,8.00%,6/1/27,CA135087VW17,5/1/96,120.67,120.82,121.33,121.27,120.77,120.67,120.69,120.83,120.74,120.33,
CAN 5.75 Jun 29,5.75%,6/1/29,CA135087WL43,2/2/98,116.94,117.88,117.75,117.71,116.98,116.84,116.86,117.06,116.92,116.39,